flavor,weight_g,chip_count,crinkle_factor
Barbecue,51.29258101994526,36,2
Sour Cream and Onion,26.327118787486008,13,5
Tangy Tomato,42.78231697782175,29,1
Tangy Tomato,54.260921012686374,36,7
Classic,10.914036183284502,9,8
Sour Cream and Onion,27.610377902507828,13,6
Barbecue,53.52216462828822,32,5
Sour Cream and Onion,22.98052208639443,15,6
Masala,12.37703303925037,7,2
Hot and Sweet Chilli,26.44149221475916,13,1
Masala,10.52404032498786,6,7
Tangy Tomato,59.13599630968572,35,7
Classic,14.329100826111777,8,10
Masala,12.28849802579647,7,10
Classic,13.172120726432919,8,2
Classic,11.849066279935883,9,2
Hot and Sweet Chilli,28.589566854206296,16,1
Masala,12.082522159519396,6,10
Classic,12.07898750343725,6,8
Classic,11.05997027349329,6,8
Sour Cream and Onion,28.697631766817107,17,1
Classic,14.400783689607426,6,8
Barbecue,55.92481191125709,31,9
Classic,13.038760611263612,7,4
Classic,11.97367176922414,8,1
Barbecue,53.03279520954553,26,1
Hot and Sweet Chilli,27.370965504320512,17,3
Masala,13.224163020111568,6,5
Masala,13.410969403133052,7,5
Sour Cream and Onion,21.99215274894053,14,9
Classic,10.426706682421624,7,10
Sour Cream and Onion,23.67785987756153,11,2
Masala,14.116547149103589,7,2
Masala,12.57930951356164,8,6
Masala,10.49933410568089,7,9
Hot and Sweet Chilli,20.14693388654954,16,1
Classic,14.555343513836918,7,9
Hot and Sweet Chilli,20.19327630917601,15,9
Hot and Sweet Chilli,29.488459558311305,13,9
Barbecue,49.85729168894893,38,5
Hot and Sweet Chilli,23.302427793364053,15,9
Classic,12.975658374528408,9,4
Sour Cream and Onion,27.24856499315017,11,2
Hot and Sweet Chilli,29.63499240887588,14,6
Classic,11.98823789796018,6,4
Barbecue,46.23727715833766,35,6
Barbecue,45.345052595871906,25,3
Masala,12.606480238270695,6,6
Barbecue,57.14259119712565,30,2
Hot and Sweet Chilli,20.16947664889581,14,2
Masala,11.912901617853176,6,9
Hot and Sweet Chilli,21.202072291205763,17,7
Tangy Tomato,48.710152509443816,29,3
Hot and Sweet Chilli,23.418037054921825,13,1
Hot and Sweet Chilli,22.232633855051965,13,8
Classic,11.858696474531651,8,6
Masala,12.840462561689336,6,7
Masala,13.232293708189653,7,9
Masala,14.396275574231923,8,5
Masala,10.117974823227646,8,1
Masala,14.148815601438224,7,10
Masala,13.901880617854902,9,7
Classic,11.035474590882856,7,5
Masala,11.514578644165963,8,3
Hot and Sweet Chilli,27.101354317980658,16,9
Barbecue,44.93207269956049,36,1
Hot and Sweet Chilli,24.734008814949124,15,1
Classic,12.369049141989734,7,1
Masala,12.911043798841156,9,3
Masala,14.713621595470562,6,6
Masala,12.65368677643418,8,10
Masala,12.722411664001314,8,3
Masala,12.806467714742013,7,8
Masala,11.828403741306857,7,10
Masala,13.628136001372079,8,2
Masala,10.70401474446338,6,9
Hot and Sweet Chilli,28.471944390335818,14,3
Masala,12.891491997101802,8,5
Hot and Sweet Chilli,29.816533238524478,15,10
Classic,11.940828530634978,8,8
Classic,13.214094574000871,6,2
Masala,11.725961042471052,9,6
Sour Cream and Onion,23.373401410170235,17,5
Classic,12.349941340789684,7,10
Masala,10.30314463033234,6,9
Barbecue,41.24406452329406,25,5
Barbecue,58.61213609693074,28,2
Masala,13.154608951145818,7,5
Masala,10.222819117243397,6,4
Sour Cream and Onion,29.579341210567705,14,7
Sour Cream and Onion,27.610883060238756,16,6
Masala,14.74535598157422,7,2
Masala,10.381196089867823,7,5
Hot and Sweet Chilli,29.28660287014883,16,7
Hot and Sweet Chilli,24.596648704026613,13,7
Classic,10.90153967711389,6,5
Hot and Sweet Chilli,20.43899942643005,17,9
Hot and Sweet Chilli,28.639615807350104,14,4
Sour Cream and Onion,28.976746726779567,15,3
Masala,14.218248320259118,8,4
Masala,14.974906846625466,6,5
Sour Cream and Onion,28.53784921704667,14,6
Barbecue,53.18227528939053,32,3
Classic,10.984628522267142,8,2
Classic,12.491180002496364,7,4
Masala,13.558614028730243,7,5
Hot and Sweet Chilli,25.225397167320533,15,4
Classic,11.297708915880452,6,3
Masala,14.596937022863363,7,8
Masala,10.365407810135075,7,10
Hot and Sweet Chilli,20.13029567757084,16,4
Masala,10.950538248918638,7,2
Hot and Sweet Chilli,27.32122606842956,16,2
Masala,14.718507964101104,8,1
Hot and Sweet Chilli,23.952059263099702,12,4
Masala,14.835263407130174,9,10
Barbecue,43.23342872473924,31,9
Classic,13.86544520848733,9,7
Classic,11.236701579095417,6,10
Sour Cream and Onion,24.58234650392834,12,7
Hot and Sweet Chilli,21.62699743808566,13,7
Masala,13.858134554893038,7,8
Classic,13.015321530852582,6,1
Classic,10.045192345396462,6,10
Sour Cream and Onion,23.7698554192628,15,10
Hot and Sweet Chilli,22.286767796036088,15,8
Masala,10.230283670949781,6,4
Masala,11.608349948297743,6,4
Hot and Sweet Chilli,25.14683617121439,14,4
Classic,11.269105390783475,7,6
Classic,10.145848818226323,7,7
Hot and Sweet Chilli,28.946427975776345,16,6
Tangy Tomato,42.37005247196303,34,1
Classic,10.769035123208038,8,8
Masala,14.597655123280248,7,10
Masala,12.473375947956416,6,7
Masala,13.805039617476961,6,6
Masala,13.177218228297614,9,6
Masala,13.771324866735114,8,5
Masala,10.288514642079495,7,6
Masala,12.885612930191604,6,9
Masala,13.110197811854968,6,10
Barbecue,45.020027665246005,28,9
Masala,12.869206270522566,7,10
Classic,13.283155368539381,6,8
Hot and Sweet Chilli,29.02236403462238,13,10
Tangy Tomato,58.36478173350874,28,9
Masala,10.137595925702076,8,10
Hot and Sweet Chilli,22.20852782963009,11,8
Tangy Tomato,44.573888188007295,24,8
Barbecue,43.504435442116545,25,1
Sour Cream and Onion,26.795499271339082,12,10
Masala,14.752295852876479,6,5
Masala,13.595799484722844,9,4
Classic,12.900444173347273,7,2
Barbecue,46.52676861863974,26,8
Classic,11.41248032986426,9,3
Classic,12.150514382649,7,4
Masala,14.732282565752026,9,7
Sour Cream and Onion,24.009417624730467,16,10
Masala,13.901827515034409,7,9
Hot and Sweet Chilli,28.888874240036298,13,2
Hot and Sweet Chilli,22.04680109057284,15,3
Classic,11.276545382519657,8,4
Masala,11.657823495335968,7,10
Masala,10.164048120643042,7,1
Classic,10.355791425867164,9,7
Masala,11.47620901244821,7,2
Classic,12.534602189809174,7,5
Masala,10.475265227663463,8,1
Hot and Sweet Chilli,28.358259279105162,14,3
Classic,13.633746120840984,6,2
Masala,13.855614079259432,6,1
Hot and Sweet Chilli,28.247878562777867,12,7
Masala,14.379415417585285,7,5
Masala,10.227016407343463,8,1
Tangy Tomato,48.50456370875388,28,6
Hot and Sweet Chilli,23.918239632835,15,5
Sour Cream and Onion,27.655467505158608,12,3
Masala,12.952155449113466,8,7
Classic,12.612550905427941,6,10
Sour Cream and Onion,27.23128273882554,17,9
Classic,10.050453033445123,9,9
Hot and Sweet Chilli,22.3041666211735,13,9
Hot and Sweet Chilli,20.51900943587309,14,2
Hot and Sweet Chilli,29.668454997992853,17,3
Barbecue,54.634494731284256,28,7
Sour Cream and Onion,27.418963269587152,15,5
Tangy Tomato,55.18137878516751,33,2
Masala,11.514654528202147,6,3
Sour Cream and Onion,28.180267491386928,13,10
Barbecue,45.428771552684005,33,6
Masala,11.854705040788826,7,7
Masala,14.997719593595471,10,9
Sour Cream and Onion,29.84858402762476,17,1
Classic,11.965976005139611,6,7
Sour Cream and Onion,21.496014495269524,14,8
Masala,12.072348577696717,7,3
Sour Cream and Onion,27.093208284726096,13,4
Masala,11.345098233991553,6,10
Masala,12.918863902570559,8,6
Masala,13.142170237094994,7,10
Sour Cream and Onion,22.65326137555467,15,7
