flavor,weight_g,chip_count
Sour Cream and Onion,27.356631142391898,18.0
Masala,14.66556665671779,9.0
Hot and Sweet Chilli,24.21248053294072,15.0
Masala,13.92825809040116,8.0
Barbecue,48.19809779392577,32.0
Classic,11.91916475966522,7.0
Hot and Sweet Chilli,25.877693608621982,15.0
Masala,11.811177208261443,7.0
Hot and Sweet Chilli,20.26196708532065,11.0
Hot and Sweet Chilli,28.316970436757735,16.0
Sour Cream and Onion,25.180787662388155,15.0
Classic,14.703396225576704,8.0
Barbecue,48.5931362547787,32.0
Hot and Sweet Chilli,28.419335667918087,16.0
Masala,14.013216548978551,8.0
Sour Cream and Onion,24.829688720853554,14.0
Sour Cream and Onion,20.806015137571247,13.0
Classic,12.482305761776498,7.0
Sour Cream and Onion,27.295082286523968,17.0
Hot and Sweet Chilli,21.589081676693535,13.0
Classic,10.676770411388429,6.0
Hot and Sweet Chilli,26.569551562671396,18.0
Masala,10.344790081782106,6.0
Masala,11.410935373466,6.0
Masala,11.234893995359998,7.0
Classic,11.24773099924753,6.0
Hot and Sweet Chilli,27.593982624179638,17.0
Classic,13.883552784775906,7.0
Barbecue,49.75142387346769,28.0
Masala,10.313266017276773,6.0
Hot and Sweet Chilli,21.392453711175953,13.0
Sour Cream and Onion,24.110956026007067,14.0
Masala,14.499166728436363,8.0
Masala,13.318948430877946,9.0
Masala,12.800840917309209,8.0
Masala,10.261289396430119,6.0
Barbecue,45.203155819241026,29.0
Sour Cream and Onion,29.812970904972467,17.0
Classic,13.270873007370373,7.0
Barbecue,51.306605091432196,31.0
Sour Cream and Onion,29.72005329631537,18.0
Masala,11.747531860434094,6.0
Barbecue,43.02493657469869,25.0
Classic,11.25483330670149,7.0
Sour Cream and Onion,25.61222788282525,16.0
Barbecue,42.295377437384346,28.0
Hot and Sweet Chilli,27.228143032084837,15.0
Masala,13.539175486148842,8.0
Masala,10.408626728733891,6.0
Hot and Sweet Chilli,24.84696287130047,14.0
Sour Cream and Onion,29.456981470002823,19.0
Barbecue,53.380446746582166,33.0
Masala,12.058827707922543,7.0
Classic,12.727159347034528,7.0
Hot and Sweet Chilli,25.125026487703316,16.0
Masala,12.29619938798479,6.0
Masala,13.931390996920165,8.0
Hot and Sweet Chilli,22.586208348880387,13.0
Barbecue,46.60430129742995,30.0
Hot and Sweet Chilli,25.193858595039373,14.0
Classic,14.389150390760204,9.0
Sour Cream and Onion,28.70578425046007,16.0
Hot and Sweet Chilli,24.51239344180988,16.0
Tangy Tomato,55.44024952619981,31.0
Tangy Tomato,41.30409182520984,25.0
Masala,14.5461010293078,9.0
Hot and Sweet Chilli,24.978125080342902,14.0
Hot and Sweet Chilli,26.56780104724294,17.0
Masala,11.902100037537812,7.0
Masala,14.822383269504058,8.0
Classic,12.616648155973706,7.0
Classic,13.964272095169196,8.0
Masala,13.172912087751518,8.0
Masala,11.979852363312274,8.0
Barbecue,50.6605773449228,29.0
Masala,13.479495590844012,8.0
Masala,11.583808385337633,7.0
Hot and Sweet Chilli,29.061432547657663,17.0
Tangy Tomato,59.67042945430444,34.0
Masala,11.01007834201245,6.0
Classic,14.469948550039351,9.0
Sour Cream and Onion,21.52104283222273,13.0
Masala,13.076490125349011,7.0
Sour Cream and Onion,28.824163684073387,19.0
Hot and Sweet Chilli,25.052067735766382,17.0
Classic,12.088804896375498,8.0
Classic,13.339599994018135,8.0
Classic,10.829774476478924,7.0
Masala,12.137448439603077,7.0
Sour Cream and Onion,20.12607519975759,12.0
Hot and Sweet Chilli,25.273996221226763,16.0
Masala,14.45129026508901,8.0
Masala,13.657482451701812,7.0
Classic,14.29088526578582,9.0
Classic,12.703968774927722,8.0
Masala,11.571750565918741,7.0
Classic,14.108184488552357,8.0
Masala,11.788991326627208,7.0
Classic,14.141246262186092,8.0
Masala,10.86880796567872,7.0
Classic,14.12989106354041,8.0
Hot and Sweet Chilli,22.398741127559447,12.0
Barbecue,46.95882823164333,28.0
Masala,13.744131684816532,8.0
Hot and Sweet Chilli,26.20928567478431,15.0
Masala,14.2072377654238,8.0
Barbecue,59.58209876030309,38.0
Barbecue,42.525294831290054,27.0
Masala,11.625520077158495,7.0
Classic,10.348205740812029,6.0
Sour Cream and Onion,28.557372589057863,16.0
Classic,14.1852056262147,8.0
Classic,13.214409550293539,8.0
Masala,12.563273765725265,7.0
Masala,11.06322188185548,6.0
Barbecue,46.07892802481447,29.0
Barbecue,58.766096368969656,39.0
Classic,13.830323882676513,9.0
Hot and Sweet Chilli,26.649849034759953,15.0
Hot and Sweet Chilli,29.071950307058298,18.0
Sour Cream and Onion,25.6044063098044,14.0
Barbecue,48.941110876128505,30.0
Barbecue,57.2912721904534,36.0
Sour Cream and Onion,23.804005489704096,16.0
Classic,10.553602966631578,6.0
Masala,10.210123375857027,6.0
Masala,14.590382760995753,8.0
Barbecue,57.16683353598242,34.0
Classic,14.553850808219575,9.0
Masala,14.024533884207193,7.0
Masala,14.814051785370129,9.0
Classic,11.523755476930667,7.0
Masala,11.40760599207465,7.0
Masala,10.562901952059685,6.0
Classic,12.703492383224551,7.0
Classic,11.209469141294194,6.0
Classic,12.34383982732253,7.0
Masala,12.991787421488795,7.0
Sour Cream and Onion,22.99919111506985,15.0
Masala,10.240714179891768,6.0
Hot and Sweet Chilli,28.522638743911813,18.0
Sour Cream and Onion,25.932215701073844,17.0
Classic,10.926650897643572,6.0
Sour Cream and Onion,22.39510169909538,14.0
Classic,10.173351333632416,6.0
Classic,14.97718758095655,9.0
Masala,12.607228445217947,7.0
Hot and Sweet Chilli,28.313735143857098,17.0
Masala,10.574664985297835,6.0
Masala,14.548134097182963,9.0
Tangy Tomato,56.58573598633511,37.0
Hot and Sweet Chilli,25.717723520483222,16.0
Barbecue,48.608548206419805,29.0
Classic,12.172979804293558,7.0
Sour Cream and Onion,26.019234310151315,17.0
Classic,12.216900071895939,7.0
Classic,13.156537765459944,8.0
Hot and Sweet Chilli,27.02633773085516,15.0
Masala,12.561818887728954,7.0
Sour Cream and Onion,23.845113276448124,14.0
Masala,13.261121297727362,9.0
Masala,13.00325533274178,8.0
Classic,12.531330297476014,8.0
Masala,10.354661080668867,6.0
Barbecue,47.23706186410277,29.0
Tangy Tomato,40.91297491004767,23.0
Barbecue,45.53628615582612,31.0
Hot and Sweet Chilli,23.31347007103051,14.0
Masala,10.980488563691965,6.0
Barbecue,45.613664310319486,26.0
Hot and Sweet Chilli,25.16572628445979,14.0
Tangy Tomato,40.153280652984506,23.0
Tangy Tomato,40.734427250016424,23.0
Barbecue,46.777212986775034,30.0
Masala,12.860243216846504,8.0
Hot and Sweet Chilli,22.934888232081217,15.0
Barbecue,47.94030082474383,27.0
Hot and Sweet Chilli,26.170665161178015,15.0
Masala,11.726115714008461,7.0
Classic,14.37111262342588,8.0
Barbecue,54.045175320633284,36.0
Classic,10.657445599489908,6.0
Classic,11.972880377988233,7.0
Masala,12.05510537632773,8.0
Classic,13.570163222334282,8.0
Tangy Tomato,46.18745435725564,30.0
Masala,14.775302557424943,9.0
Classic,10.007825525957365,6.0
Barbecue,41.022707628842014,24.0
Sour Cream and Onion,20.595247003477716,13.0
Classic,13.432949567463034,7.0
Sour Cream and Onion,23.838388830449794,14.0
Hot and Sweet Chilli,23.690530217609165,13.0
Masala,12.094738950937376,7.0
Sour Cream and Onion,20.710076645332556,11.0
Sour Cream and Onion,23.547712918359842,15.0
Barbecue,53.37145293445828,34.0
Barbecue,47.2383998167573,29.0
Classic,10.050655920138716,6.0
Classic,14.566434737881185,9.0
Sour Cream and Onion,28.73698593466345,18.0
Classic,10.602792082018452,7.0
Sour Cream and Onion,20.66443844355775,12.0
Sour Cream and Onion,21.421371237934576,12.0
Barbecue,48.44068520255278,28.0
Hot and Sweet Chilli,24.86000493797603,15.0
Hot and Sweet Chilli,20.437390723089475,11.0
Masala,12.793211982252126,7.0
Classic,13.64586743774724,8.0
Masala,14.228021814949534,9.0
Hot and Sweet Chilli,24.29931077390148,15.0
Classic,11.376905871277092,6.0
Masala,13.944925799603967,8.0
Classic,13.991901702591763,9.0
Masala,14.28781168830642,9.0
Masala,12.154926102566481,7.0
Sour Cream and Onion,25.821987465941138,15.0
Hot and Sweet Chilli,26.01074166800233,16.0
Masala,13.442025092460685,8.0
Classic,10.834301008493764,6.0
Sour Cream and Onion,21.425941440819088,14.0
Masala,11.729387303689286,6.0
Classic,10.127238799528754,6.0
Masala,13.184511587273716,7.0
Masala,10.358559444238255,6.0
Classic,11.556087475316968,7.0
Classic,13.028896247263452,7.0
Classic,11.08946277127495,7.0
Sour Cream and Onion,24.54001621196115,15.0
Tangy Tomato,42.811059351567216,26.0
Classic,10.137683599347328,6.0
Hot and Sweet Chilli,29.64017407117702,18.0
Sour Cream and Onion,20.389960125749116,11.0
Masala,11.939933799734348,6.0
Hot and Sweet Chilli,20.23352096328186,13.0
Masala,12.292615044409454,7.0
Masala,14.500415915082403,8.0
Tangy Tomato,59.11837657910638,35.0
Sour Cream and Onion,28.884036723086812,18.0
Classic,14.133536798707437,9.0
Hot and Sweet Chilli,22.884054378187457,15.0
Masala,11.947409474512101,7.0
Masala,11.701935521272528,7.0
Masala,10.770725215892435,6.0
Classic,12.70852406205002,8.0
Sour Cream and Onion,28.336499619375857,17.0
Classic,11.511666246757468,6.0
Masala,10.973119183524359,6.0
Tangy Tomato,46.84895957669427,27.0
Sour Cream and Onion,29.66417385866407,18.0
Classic,11.736385195152538,7.0
Classic,10.695983506728478,6.0
Hot and Sweet Chilli,26.262343214210638,16.0
Masala,12.008894003271621,8.0
Hot and Sweet Chilli,28.80314762148927,18.0
Sour Cream and Onion,25.693773611822827,16.0
Masala,11.006560539112167,6.0
Masala,10.197297664454496,6.0
Masala,12.715122919788316,7.0
Masala,14.82014423582757,9.0
Barbecue,54.44286470911812,34.0
Sour Cream and Onion,28.69969159647685,16.0
Hot and Sweet Chilli,27.90509794274885,16.0
Masala,13.971053312747028,8.0
Hot and Sweet Chilli,28.770905810181887,19.0
Hot and Sweet Chilli,21.487959694051156,13.0
Masala,14.904936890813426,9.0
Hot and Sweet Chilli,28.635475225145452,18.0
Hot and Sweet Chilli,23.75329907919602,14.0
Classic,11.016115455430436,7.0
Classic,11.932702534115139,7.0
Masala,12.46162740000591,7.0
Hot and Sweet Chilli,28.655771456245525,19.0
Classic,12.037921042869085,7.0
Classic,13.822638973273587,8.0
Barbecue,59.12094287223866,34.0
Classic,10.546321051548107,7.0
Masala,12.195749083168742,8.0
Masala,14.465451025977075,8.0
Classic,14.417323814930302,8.0
Masala,12.55216244502116,8.0
Classic,14.631913033650434,8.0
Barbecue,49.53686936635634,32.0
Classic,13.613534788491142,8.0
Hot and Sweet Chilli,21.344351294081218,12.0
Classic,11.793577627085067,7.0
Hot and Sweet Chilli,22.787598724145532,13.0
Classic,14.78724009519048,8.0
Barbecue,59.95641711363956,38.0
Hot and Sweet Chilli,28.28469299449117,16.0
Tangy Tomato,40.2863055533412,26.0
Barbecue,56.68289194001352,37.0
Masala,10.714251436504194,7.0
Masala,13.844613910538204,8.0
Masala,13.83057966397793,9.0
Masala,13.068020571187292,7.0
Masala,12.438139048336055,7.0
Classic,12.037715155162154,7.0
Masala,10.330049220701207,6.0
Hot and Sweet Chilli,21.109980987913147,13.0
Sour Cream and Onion,29.47688025964471,16.0
Masala,14.775576036458506,9.0
Sour Cream and Onion,22.995656779538738,13.0
Masala,12.503121340352088,8.0
Masala,13.53543238633349,7.0
Classic,10.364509176839517,6.0
Classic,11.476452470239716,6.0
Barbecue,45.62008997817427,30.0
Sour Cream and Onion,29.29228053631854,17.0
Sour Cream and Onion,29.06111002132497,17.0
Masala,12.382184931718959,7.0
Masala,13.20238021087922,9.0
Sour Cream and Onion,26.034930960433787,15.0
Sour Cream and Onion,26.478174459905283,15.0
Tangy Tomato,57.77318160530797,36.0
Hot and Sweet Chilli,24.49349742039642,15.0
Hot and Sweet Chilli,26.247838627894026,14.0
Sour Cream and Onion,26.826172212234024,15.0
Hot and Sweet Chilli,27.139526325065898,17.0
Barbecue,56.079170151050405,35.0
Barbecue,50.40339784621502,29.0
Hot and Sweet Chilli,27.753461504031357,16.0
Sour Cream and Onion,24.966954228179468,14.0
Sour Cream and Onion,21.33828362999693,13.0
Masala,10.271660174114519,6.0
Barbecue,46.351735905222334,25.0
Classic,12.555645696186149,7.0
Sour Cream and Onion,22.761695578208993,14.0
Hot and Sweet Chilli,20.626896216218658,13.0
Barbecue,40.07639845317166,23.0
Hot and Sweet Chilli,27.409040561520715,16.0
Masala,10.509461940330068,6.0
Barbecue,45.40786572769051,30.0
Masala,11.566739587925715,7.0
Hot and Sweet Chilli,28.91872144810735,17.0
Tangy Tomato,58.19886287708784,35.0
Tangy Tomato,59.28156832980216,33.0
Classic,13.435096332516213,8.0
Classic,11.938244027278236,7.0
Hot and Sweet Chilli,27.03857091634331,15.0
Masala,10.834765443735993,7.0
Hot and Sweet Chilli,26.663854135782064,18.0
Classic,13.805188951253914,9.0
Sour Cream and Onion,27.02540501534807,16.0
Sour Cream and Onion,21.053649222508565,13.0
Sour Cream and Onion,26.44149221475916,14.0
Masala,11.800252329504891,8.0
Hot and Sweet Chilli,25.004011457102013,15.0
Masala,12.28849802579647,7.0
Classic,11.843535854323976,7.0
Hot and Sweet Chilli,20.523550201874723,13.0
Barbecue,48.330088638077584,32.0
Hot and Sweet Chilli,28.503480011198953,16.0
Masala,13.286767410850644,8.0
Masala,14.400783689607426,8.0
Sour Cream and Onion,26.778132003100442,17.0
Classic,11.476507387859163,6.0
Masala,13.258198802386383,8.0
Masala,11.57813671881675,7.0
Sour Cream and Onion,23.95130907611503,15.0
Masala,10.996076374470265,7.0
Sour Cream and Onion,22.874095964655798,13.0
Sour Cream and Onion,20.580919520803498,11.0
Masala,12.57930951356164,7.0
Masala,14.177401128710972,7.0
Tangy Tomato,47.58188097343872,28.0
Hot and Sweet Chilli,20.19327630917601,11.0
Hot and Sweet Chilli,24.136426749186352,15.0
Sour Cream and Onion,24.04289747254869,15.0
Barbecue,51.90263349811363,29.0
Tangy Tomato,49.28190318907008,33.0
Sour Cream and Onion,25.190322801295487,16.0
Hot and Sweet Chilli,23.11863857916883,15.0
Masala,13.864607409380575,8.0
Sour Cream and Onion,29.760138232792137,17.0
Classic,10.084738324447905,6.0
Hot and Sweet Chilli,28.071555373648827,16.0
Barbecue,45.31165665917212,25.0
Masala,11.466543053902823,7.0
Hot and Sweet Chilli,25.179605277125788,15.0
Masala,11.858696474531651,6.0
Hot and Sweet Chilli,22.99800527565236,14.0
Masala,14.870972219081786,9.0
Masala,10.117974823227646,6.0
Masala,13.91599206649313,9.0
Classic,12.289978795017857,7.0
Sour Cream and Onion,23.029157288331927,13.0
Classic,11.141176817468496,6.0
Tangy Tomato,49.68154139420403,32.0
Hot and Sweet Chilli,24.73809828397947,14.0
Masala,14.78894900494102,10.0
Barbecue,55.70379086296817,38.0
Masala,12.722411664001314,8.0
Tangy Tomato,41.512100812335014,25.0
Masala,11.126906340033829,6.0
Tangy Tomato,42.81605897785352,27.0
Masala,13.906609278736525,8.0
Barbecue,42.93925419176419,28.0
Classic,13.179773535818642,8.0
Tangy Tomato,53.48260591072126,31.0
Masala,11.725961042471052,7.0
Classic,11.452522528357102,7.0
Tangy Tomato,57.80282274792029,37.0
Classic,10.311016130823514,6.0
Classic,10.039207953859584,6.0
Classic,12.238367127052092,7.0
Hot and Sweet Chilli,29.579341210567705,18.0
Classic,11.209466470564447,6.0
Classic,13.39810166367554,7.0
Barbecue,45.49407630095784,30.0
Masala,12.298324352013307,7.0
Masala,12.164080011047346,6.0
Tangy Tomato,43.31499559640312,26.0
Barbecue,44.183709308158555,25.0
Hot and Sweet Chilli,28.436496640518236,19.0
Classic,13.965714369983697,9.0
Masala,11.209885651585227,7.0
Masala,10.984628522267142,7.0
Hot and Sweet Chilli,29.94819293965951,19.0
Hot and Sweet Chilli,29.81143731791822,18.0
Classic,11.297708915880452,6.0
Masala,12.96780467689393,7.0
Tangy Tomato,52.446865292344924,35.0
Tangy Tomato,43.802152995674554,28.0
Classic,14.539493968898096,9.0
Classic,14.800678022027236,9.0
Hot and Sweet Chilli,29.773079079915036,19.0
Sour Cream and Onion,21.61671436236962,13.0
Classic,13.59165587686002,8.0
Masala,13.203075917744437,8.0
Barbecue,43.25399487617132,27.0
Sour Cream and Onion,27.716269109786076,17.0
Barbecue,40.24206233552215,22.0
Sour Cream and Onion,23.570293439700123,15.0
Classic,11.143383898018044,7.0
Hot and Sweet Chilli,22.220758706933207,13.0
Barbecue,56.96084179202968,37.0
Barbecue,41.907985546264214,25.0
Masala,10.145848818226323,6.0
Masala,13.312170058505341,7.0
Hot and Sweet Chilli,22.888849389091657,13.0
Sour Cream and Onion,29.195310246560496,19.0
Tangy Tomato,40.89822597991232,26.0
Masala,11.858620332011716,7.0
Classic,13.771324866735114,9.0
Hot and Sweet Chilli,29.509285945025482,18.0
Tangy Tomato,47.142423186010056,31.0
Sour Cream and Onion,22.510013832623002,14.0
Sour Cream and Onion,23.58578461524873,15.0
Hot and Sweet Chilli,22.40398912893507,13.0
Hot and Sweet Chilli,29.18239086675437,16.0
Masala,12.529789538674658,7.0
Masala,10.194649816628337,6.0
Barbecue,43.504435442116545,29.0
Sour Cream and Onion,22.824787439770265,15.0
Tangy Tomato,51.63244585978387,31.0
Tangy Tomato,51.60177669338909,32.0
Classic,13.793881268786626,8.0
Sour Cream and Onion,23.530503916003024,15.0
Barbecue,58.929130263008105,39.0
Sour Cream and Onion,24.194479939573135,15.0
Masala,12.381678666505493,7.0
Hot and Sweet Chilli,22.04680109057284,13.0
Masala,10.93067948876674,6.0
Tangy Tomato,57.10060403239871,33.0
Classic,10.355791425867164,6.0
Masala,14.70392260251554,9.0
Classic,12.04706035908509,7.0
Classic,14.179129639552581,8.0
Hot and Sweet Chilli,26.936180574737953,17.0
Masala,13.273253434329773,7.0
Classic,14.379415417585285,9.0
Classic,11.412362131850019,7.0
Sour Cream and Onion,20.375710903989074,11.0
Classic,13.827733752579304,7.0
Barbecue,48.33131656964584,30.0
Classic,10.273172100004862,7.0
Classic,11.13062665624836,6.0
Barbecue,46.07885024510055,27.0
Hot and Sweet Chilli,20.014738220863116,13.0
Masala,14.834227498996427,8.0
Masala,13.315235959017112,8.0
Sour Cream and Onion,28.48425379090525,17.0
Classic,11.514654528202147,6.0
Sour Cream and Onion,27.126213330985127,17.0
Masala,10.908069838783014,6.0
Masala,14.50970098374575,9.0
Masala,14.92429201381238,9.0
Hot and Sweet Chilli,23.931952010279222,15.0
Classic,13.305071271236601,7.0
Hot and Sweet Chilli,25.44496959103865,16.0
Hot and Sweet Chilli,21.673213040010605,14.0
Barbecue,51.675455610282235,35.0
Hot and Sweet Chilli,20.424222982068915,12.0
Classic,13.007769396499121,7.0
Sour Cream and Onion,27.144241640712423,17.0
Hot and Sweet Chilli,21.025159640664743,13.0
Classic,12.544452777955279,7.0
Barbecue,58.65849725139344,38.0
Barbecue,53.94418763819274,35.0
Masala,12.308580719065596,8.0
Barbecue,53.891908545065704,35.0
Hot and Sweet Chilli,28.61690903787345,17.0
Masala,14.035354519333515,8.0
Hot and Sweet Chilli,23.45341952244888,14.0
Tangy Tomato,59.57050936778281,39.0
Hot and Sweet Chilli,27.011698615902596,17.0
Hot and Sweet Chilli,25.62072794402571,17.0
Classic,12.481293764411808,7.0
Masala,10.815176684657954,7.0
Masala,13.672219660377957,8.0
Masala,10.125967069796147,6.0
Masala,10.057089917270368,6.0
Masala,14.851285548630285,9.0
Masala,11.174867024979765,7.0
Classic,14.085640710077925,8.0
Masala,14.835176376280732,8.0
Hot and Sweet Chilli,25.04795598304528,16.0
Barbecue,57.252809422983574,33.0
Hot and Sweet Chilli,28.000034817636816,17.0
Classic,11.982768409949816,6.0
Masala,14.326478794544563,8.0
Masala,11.548939296045496,6.0
Masala,14.357070170954271,9.0
Masala,13.983406985956861,8.0
Masala,13.124370498034995,8.0
Masala,14.164151883941354,9.0
Masala,10.060783857386934,6.0
Masala,10.259178995598646,6.0
Hot and Sweet Chilli,22.876327290436784,13.0
Masala,11.764792517261784,7.0
Hot and Sweet Chilli,23.34049965668769,15.0
Classic,12.022636927869348,6.0
Classic,13.918799212420536,8.0
Masala,12.163834397996313,7.0
Sour Cream and Onion,23.32456157148712,13.0
Classic,11.869605235064068,8.0
Masala,13.20867198649279,8.0
Barbecue,52.6456430727528,30.0
Barbecue,48.3666772820456,31.0
Masala,10.506864487765796,6.0
Masala,11.381595542329269,6.0
Sour Cream and Onion,29.80368740942185,16.0
Sour Cream and Onion,25.18700994380595,14.0
Masala,14.853382727048722,8.0
Masala,12.018005011807956,7.0
Hot and Sweet Chilli,27.045544280274452,16.0
Hot and Sweet Chilli,23.465241679527182,14.0
Classic,11.321381315793197,6.0
Hot and Sweet Chilli,24.8303969755889,14.0
Hot and Sweet Chilli,22.874616648972502,14.0
Sour Cream and Onion,29.68537331699892,18.0
Masala,10.384897335324832,6.0
Masala,14.75711610422783,8.0
Sour Cream and Onion,20.920669860824756,13.0
Barbecue,52.47297556580532,33.0
Classic,11.337010139287706,6.0
Classic,14.82507684727236,8.0
Masala,13.380131440262737,8.0
Hot and Sweet Chilli,26.100074170794855,15.0
Classic,11.355481268820329,7.0
Masala,14.330478168058457,9.0
Masala,10.529529022018789,6.0
Hot and Sweet Chilli,29.447362587830796,19.0
Masala,14.414969124148865,8.0
Hot and Sweet Chilli,25.87585871109402,16.0
Masala,13.400559427234864,8.0
Hot and Sweet Chilli,20.153948916913084,12.0
Masala,11.265507695898044,6.0
Barbecue,59.151620301676346,36.0
Classic,14.199008033322134,8.0
Classic,13.362302490125144,9.0
Sour Cream and Onion,21.018931008729368,11.0
Hot and Sweet Chilli,24.335827926326143,13.0
Masala,13.741921748381156,9.0
Classic,12.170104863543795,7.0
Classic,12.17201659503305,7.0
Sour Cream and Onion,20.09054161580371,12.0
Hot and Sweet Chilli,26.13291684887379,16.0
Masala,11.210110399904385,7.0
Masala,10.456957431658882,6.0
Hot and Sweet Chilli,28.77470046654482,18.0
Classic,10.068727770056727,6.0
Classic,11.072032414965822,6.0
Hot and Sweet Chilli,22.475597702798865,12.0
Tangy Tomato,49.178810331936404,32.0
Classic,13.033658623587183,8.0
Masala,10.405745892681196,7.0
Masala,14.192459169215123,9.0
Masala,14.114919025208838,9.0
Masala,12.721269830568488,7.0
Masala,13.083918039262706,8.0
Masala,13.689586966770127,8.0
Masala,10.34229359666789,6.0
Masala,14.603833042316786,9.0
Barbecue,50.76663886511427,30.0
Masala,11.842244599582894,7.0
Classic,13.332315237634178,8.0
Hot and Sweet Chilli,24.543454230676552,15.0
Tangy Tomato,44.96767217486415,29.0
Masala,12.138006668516686,7.0
Hot and Sweet Chilli,26.493223245768817,17.0
Tangy Tomato,41.28012693217242,27.0
Barbecue,45.84766220824386,28.0
Sour Cream and Onion,20.21913328775009,12.0
Masala,12.513156213150651,7.0
Masala,12.455478646915825,8.0
Classic,10.526966090539027,6.0
Barbecue,48.19342106751985,30.0
Classic,11.301182989926147,6.0
Classic,10.802313071356132,6.0
Masala,10.928233524506215,7.0
Sour Cream and Onion,28.816906118435078,19.0
Masala,13.42567154937242,7.0
Hot and Sweet Chilli,22.8918744629595,13.0
Hot and Sweet Chilli,22.49956946397621,14.0
Classic,12.677769074398363,7.0
Masala,11.76894579368218,7.0
Masala,13.946464241598427,8.0
Classic,14.568942219366296,9.0
Masala,11.633712710150204,7.0
Classic,12.528170767109794,8.0
Masala,14.381597165711558,8.0
Hot and Sweet Chilli,23.927307432714162,15.0
Classic,12.5156623627577,7.0
Masala,14.294083855840773,9.0
Hot and Sweet Chilli,28.379083748518035,18.0
Masala,13.741779268328699,8.0
Masala,13.052733775077122,7.0
Tangy Tomato,53.472908349498155,31.0
Hot and Sweet Chilli,26.939495905101566,15.0
Sour Cream and Onion,21.1755130015022,12.0
Masala,10.009960676095352,6.0
Classic,13.662005245291896,8.0
Sour Cream and Onion,21.613628010553835,12.0
Classic,10.095644832186435,6.0
Hot and Sweet Chilli,28.908555349831467,17.0
Hot and Sweet Chilli,23.542713272172158,13.0
Hot and Sweet Chilli,22.223613047481702,13.0
Barbecue,52.15505366191305,30.0
Sour Cream and Onion,20.577321592251174,12.0
Tangy Tomato,44.68406741852668,26.0
Masala,14.799314013567276,9.0
Sour Cream and Onion,25.568784431720957,15.0
Barbecue,48.578886668602884,30.0
Masala,13.482149035180537,8.0
Masala,10.858469538527247,6.0
Sour Cream and Onion,24.119580950341017,16.0
Classic,13.157094606091881,8.0
Sour Cream and Onion,21.153946421789172,13.0
Masala,10.586019528401167,6.0
Sour Cream and Onion,21.42841964814332,13.0
Masala,11.031260569180763,6.0
Masala,14.478373888093893,8.0
Masala,12.539025319793895,7.0
Sour Cream and Onion,20.1812404104573,13.0
Classic,10.345229531572999,6.0
